정류장ID,정류장명,위도,경도
293016088,성제1리마을회관,36.59183,127.26913
293016089,성제1리마을회관,36.59196,127.26919
293016090,쌍전리(우리요양원),36.57806,127.26923
293016091,쌍전리(우리요양원),36.57809,127.26937
293016092,부동리마을회관,36.5596356,127.2696102
293016093,부동리마을회관,36.559699,127.2697497
293016094,연서면사무소,36.59184,127.27115
293016095,연서면사무소,36.59204,127.2716
293016096,국촌1리,36.57297,127.2725
293016097,국촌1리,36.57319,127.27255
293016098,월하1리마을회관,36.59354,127.27439
293016099,월하1리마을회관,36.59373,127.27467
293016100,방축골,36.59433,127.27733
293016101,대원아파트,36.55833,127.27817
293016102,대원아파트,36.55839,127.27835
293016103,국촌1리(함박산),36.5715,127.27887
293016104,국촌1리(함박산),36.57137,127.27907
293016105,쌍전리마을회관,36.57776,127.27925
293016109,대원아파트후문,36.56068,127.28087
293016110,대원아파트후문,36.56134,127.28143
293016111,세종장례식장,36.57148,127.28215
293016112,봉암리,36.56358,127.28305
293016113,봉암리,36.56387,127.28345
293016114,농업기술센터,36.57213,127.28354
293016115,월하2리,36.58373,127.28447
293016116,세종교통,36.56604,127.28472
293016117,세종교통,36.56604,127.28491
293016118,도원초등학교,36.58576,127.28655
293016119,봉암2리마을회관,36.55973,127.28701
293016120,세종장례식장입구,36.57023,127.28746
293016121,세종장례식장입구,36.5700498,127.2875721
293016122,세종장례식장입구,36.5703293,127.2875669
293016123,세종장례식장입구,36.5700006,127.2877801
293016124,월하리(항공학교),36.57537,127.29147
293016125,월하리(항공학교),36.57633,127.29212
293016126,월하리,36.57825,127.29256
293016127,월하리,36.57842,127.29276
293016129,연서초등학교,36.58198663,127.2537284
293017001,송학2리(언고개),36.54245,127.18782
